rule_id,rule_text;
R1,deny create on nodes (e:Staff) to Hospital_Admin;
R2,grant create on nodes (e:ClinicalProtocol) to Hospital_Admin;
R3,grant create on relationships (r:COLLABORATES_WITH) source (s1:Staff) target (s2:Staff) to Hospital_Admin;
R4,grant create on nodes (e:BillingRecord) where e.amount > 1000 to Hospital_Admin;
R5,grant create on relationships (r:OWNS) where r.since > 2000 to Hospital_Admin;
R6,grant create on nodes (*) to Hospital_Admin;
R7,grant create on nodes (e:MedicalDocument) to Nurse;
R8,grant traverse on nodes (e:MedicalDocument) to Nurse;
R9,deny traverse on nodes (e:MedicalDocument) to Nurse;
R10,grant create on relationships (r:OWNS) to Nurse;
R11,grant traverse on relationships (*) to Nurse;
R12,deny traverse on relationships (r:OWNS) to Nurse;
R13,grant create on relationships (*) to Data_Analyst;
R14,grant traverse on relationships (r:CONNECTED) to Data_Analyst;
R15,deny traverse on relationships (*) to Data_Analyst;
R16,grant create on nodes (*) where e.level < 5 to Data_Analyst;
R17,grant traverse on nodes (e:ClinicalProtocol) to Data_Analyst;
R18,deny traverse on nodes (*) to Data_Analyst;
R19,grant create on nodes (*) to IT_Engineer;
R20,grant traverse on nodes (e:Staff) to IT_Engineer;
R21,grant create on relationships (*) to IT_Engineer;
R22,grant traverse on relationships (r:ASSIGNED_TO) where r.year > 2020 and r.year < 2018 to IT_Engineer;
R23,grant traverse on nodes (e:MedicalEquipment) to Equipment_Manager;
R24,grant create on nodes (e:MedicalEquipment) to Equipment_Manager;
R25,deny traverse on nodes (e:MedicalDocument) where e.status='Confidential' to Data_Analyst;
R26,grant add{email} on nodes (u:PatientAccount) where u.owner = true to ProfileEditor;
R27,grant read{email} on nodes (u:PatientAccount) to ProfileEditor;
R28,grant add{phone} on relationships (u:HAS_CONTACT) to ContactManager;
R29,grant add{address} on nodes (u:PatientAccount) where u.owner = true to AddressEditor;
R30,grant read{address} on nodes (u:PatientAccount) to AddressEditor;
R31,deny read{*} on nodes (u:PatientAccount) to AddressEditor;
R32,grant add{diagnosis} on nodes (p:MedicalRecord) where p.assignedDoctor = true to Doctor;
R33,grant read{diagnosis} on nodes (p:MedicalRecord) to Doctor;
R34,deny read{diagnosis} on nodes (p:MedicalRecord) to Doctor;
R35,grant add{*} on relationships (o:MedicalOrder) where o.ownerId = user.id to OrderManager;
R36,grant read{status} on relationships (o:MedicalOrder) to OrderManager;
R37,grant create on nodes (e:Staff) where e.age > 60 AND e.age < 18 to HR_Manager;
R38,grant create on nodes (e:Staff) where e.status = "active" AND e.status = "inactive" to HR_Manager;
R39,grant create on nodes (e:Staff) where false to HR_Manager;
R40,grant create on nodes (e:Staff) where e.salary > 5000 AND e.salary <= 5000 to HR_Manager;
R41,grant traverse on nodes (t:BillingRecord) where t.amount > 1000 to Auditor;
R42,grant traverse on nodes (t:BillingRecord) where t.amount > 500 to Auditor;
R43,grant traverse on nodes (t:BillingRecord) where t.amount > 2000 to Auditor;
R44,grant traverse on nodes (u:UserAccount) where u.age > 30 to Auditor;
R45,grant traverse on nodes (u:UserAccount) where u.age >= 18 AND u.age <= 65 to Auditor;
R46,grant traverse on nodes (u:UserAccount) where u.age >= 25 AND u.age <= 40 to Auditor;
R47,grant traverse on nodes (o:MedicalOrder) where o.status = "completed" AND o.amount > 100 to Auditor;
R48,grant traverse on nodes (o:MedicalOrder) where o.status = "completed" to Auditor;
R49,grant traverse on nodes (o:MedicalOrder) where o.status = "completed" AND o.amount > 500 to Auditor;
R50,grant traverse on nodes (a:MedicalEquipment) where a.value > 1000 to Auditor;
R51,grant traverse on nodes (a:MedicalEquipment) where a.value > 500 to Auditor;
R52,grant traverse on nodes (a:MedicalEquipment) where a.value < 0 AND a.value > 100 to Auditor;
R53,grant traverse on nodes (d:MedicalDocument) where d.confidential = false to Auditor;
R54,grant traverse on nodes (d:MedicalDocument) where true to Auditor;
R55,grant traverse on nodes (d:MedicalDocument) where d.owner = "admin" to Auditor;
R56,grant traverse on nodes (e:Staff) where e.age == 18 AND e.age <= 18 to Auditor;
R57,grant traverse on nodes (e:Staff) where e.level > 3 AND e.level <= 4 to Auditor;
R58,grant traverse on nodes (e:Staff) where e.salary == 5000 AND e.salary > 5000 to Auditor;


R59,grant create on nodes (p:PatientActivity) to Nurse;
R60,grant traverse on nodes (p:PatientActivity) to Nurse;
R61,deny traverse on nodes (p:PatientActivity) where p.score > 80 to Nurse;
R62,grant delete on nodes (d:MedicalDocument) where d.status = "archived" to Medical_Editor;
R63,grant modify{status} on nodes (d:MedicalDocument) to Medical_Editor;
R64,deny remove{status} on relationships (r:OWNS) where r.active = false to Resource_Manager;
R65,grant remove{active} on relationships (r:OWNS) to Resource_Manager;
R66,grant create on nodes (u:UserAccount) where u.level >= 5 to System_Supervisor;
R67,grant add{level} on nodes (u:UserAccount) to System_Supervisor;
R68,grant create on nodes (p:ClinicalNote) where p.visibility = "private" to Content_Moderator;
R69,grant modify{*} on nodes (p:ClinicalNote) to Content_Moderator;
R70,grant traverse on nodes (u:PatientAccount) where u.balance <= 0 to Auditor;
R71,grant modify{*} on nodes (u:PatientAccount) to Auditor;
R72,grant delete on relationships (t:TRANSFER) where t.amount > 10000 to Compliance_Officer;
R73,deny modify{*} on relationships (t:TRANSFER) to Compliance_Officer;
R74,grant modify{salary} on nodes (e:Staff) to HR_Assistant;
R75,grant add{salary} on nodes (e:Staff) to HR_Assistant;
R76,grant remove{*} on nodes (e:Staff) to HR_Assistant;
R77,deny modify{date} on relationships (r:REPORTS_TO) to Data_Analyst_Junior;
R78,grant add{date} on relationships (r:REPORTS_TO) to Data_Analyst_Junior;
R79,grant remove{*} on relationships (r:REPORTS_TO) to Data_Analyst_Junior;
R80,deny modify{*} on nodes (c:PatientProfile) to Support_Agent;
R81,grant add{phone} on nodes (c:PatientProfile) to Support_Agent;
R82,grant remove{phone} on nodes (c:PatientProfile) to Support_Agent;
R83,deny modify{salary} on nodes (e:Staff) to Payroll_Clerk;
R84,grant add{salary} on nodes (e:Staff) to Payroll_Clerk;
R85,grant remove{salary} on nodes (e:Staff) to Payroll_Clerk;
R86,deny modify{credit_limit} on nodes (a:PatientAccount) to Billing_Clerk;
R87,grant add{credit_limit} on nodes (a:PatientAccount) to Billing_Clerk;
R88,grant remove{credit_limit} on nodes (a:PatientAccount) to Billing_Clerk;
R89,deny modify{role} on nodes (u:UserAccount) to IT_Support;
R90,grant add{role} on nodes (u:UserAccount) to IT_Support;
R91,grant remove{role} on nodes (u:UserAccount) to IT_Support;
R92,grant read{salary} on nodes (e:Staff) to Payroll_Clerk;
R93,grant read{credit_limit} on nodes (a:PatientAccount) to Billing_Clerk;
R94,grant read{role} on nodes (u:UserAccount) to IT_Support;
R95,grant delete on nodes (p:Patient) where p.status = "discharged" to Senior_Doctor;
R96,grant modify{status} on nodes (p:Patient) to Senior_Doctor;
R97,grant delete on relationships (pr:PRESCRIBES) where pr.dosage > 500 to Chief_Physician;
R98,grant modify{*} on relationships (pr:PRESCRIBES) to Chief_Physician;
R99,grant delete on nodes (e:SecurityEvent) where e.severity >= 4 to Risk_Manager;
R100,grant modify{*} on nodes (e:SecurityEvent) to Risk_Manager;
