rule_id,rule_text;
R1,grant create on nodes (e:BillingRecord) where e.amount > 1000 to Hospital_Admin;
R2,grant create on nodes (*) where e.name <> 'unkown' to Hospital_Admin;
R3,deny traverse on nodes (e:MedicalDocument) where e.status='Confidential' to Nurse;
R4,grant add{email} on nodes (u:Patient) where u.private <> true to Hospital_Clerk;
R5,grant add{address} on nodes (u:Patient) where u.private <> true to Hospital_Clerk;
R6,grant add{phone} on nodes (p:Patient) where p.private <> true to Hospital_Clerk;
R7,grant create on nodes (e:Staff) where e.age > 60 AND e.age < 18 to HR_Manager;
R8,grant create on nodes (e:Staff) where e.status = "active" AND e.status = "inactive" to HR_Manager;
R9,deny create on nodes (e:Staff) where e.name = "private" to HR_Manager;
R10,grant create on nodes (e:Staff) where e.salary > 5000 AND e.salary <= 5000 to HR_Manager;
R11,grant traverse on nodes (t:BillingRecord) where t.amount > 1000 to Auditor;
R12,grant traverse on nodes (t:BillingRecord) where t.amount > 500 to Auditor;
R13,grant traverse on nodes (t:BillingRecord) where t.amount > 2000 to Auditor;
R14,grant traverse on nodes (u:Patient) where u.age > 30 to Auditor;
R15,grant traverse on nodes (u:Patient) where u.age >= 18 AND u.age <= 65 to Auditor;
R16,grant traverse on nodes (u:Patient) where u.age >= 25 AND u.age <= 40 to Auditor;
R17,grant traverse on nodes (o:Diagnosis) where o.status = "completed" AND o.amount > 100 to Auditor;
R18,grant traverse on nodes (o:Diagnosis) where o.status = "completed" to Auditor;
R19,grant traverse on nodes (o:Diagnosis) where o.status = "completed" AND o.amount > 500 to Auditor;
R20,grant traverse on nodes (a:MedicalEquipment) where a.value > 1000 to Auditor;
R21,grant traverse on nodes (a:MedicalEquipment) where a.value > 500 to Auditor;
R22,grant traverse on nodes (a:MedicalEquipment) where a.value < 0 AND a.value > 100 to Auditor;
R23,grant traverse on nodes (d:MedicalDocument) where d.confidential = false to Auditor;
R24,grant traverse on nodes (e:Staff) where e.age == 18 AND e.age <= 18 to Auditor;
R25,grant traverse on nodes (e:Staff) where e.level > 3 AND e.level <= 4 to Auditor;
R26,grant traverse on nodes (e:Staff) where e.salary == 5000 AND e.salary > 5000 to Auditor;
R27,deny traverse on nodes (p:MedicalEquipment) where p.value > 1000 to Nurse;
R28,grant delete on nodes (d:MedicalDocument) where d.status = "archived" to Hospital_Admin;
R29,deny delete on relationships (d:OWNS) where d.conditions = "critical" to Hospital_Admin;
R30,grant delete on relationships (d:HAS_INSURANCE) where d.approval = false to Hospital_Admin;
R31,grant create on relationships (r:OWNS) where r.since > 2000 to Hospital_Admin;
