rule_id,rule_text;
R1,deny create on nodes (e:Staff) to Hospital_Admin;
R2,grant create on nodes (e:ClinicalProtocol) to Hospital_Admin;
R3,grant create on nodes (*) to Hospital_Admin;
R4,grant create on nodes (e:MedicalDocument) to Nurse;
R5,grant traverse on nodes (e:MedicalDocument) to Nurse;
R6,deny traverse on nodes (e:MedicalDocument) to Nurse;
R7,grant create on relationships (r:OWNS) to Nurse;
R8,grant traverse on relationships (*) to Nurse;
R9,deny traverse on relationships (r:OWNS) to Nurse;
R10,grant create on relationships (*) to Data_Analyst;
R11,grant traverse on relationships (r:COLLABORATES_WITH) to Auditor;
R12,deny traverse on relationships (*) to Data_Analyst;
R13,grant traverse on nodes (e:ClinicalProtocol) to Data_Analyst;
R14,deny traverse on nodes (*) to Data_Analyst;
R15,grant create on nodes (*) to Hospital_Admin;
R16,grant traverse on nodes (e:Staff) to Auditor;
R17,grant traverse on nodes (e:MedicalEquipment) to Auditor;
R18,grant create on nodes (e:MedicalEquipment) to Hospital_Admin;
R19,grant read{email} on nodes (u:Patient) to Hospital_Clerk;
R20,grant read{address} on nodes (u:Patient) to Hospital_Clerk;
R21,deny read{*} on nodes (u:Patient) to Hospital_Clerk;
R22,grant read{cost} on nodes (p:Diagnosis) to Hospital_Clerk;
R23,deny read{cost} on nodes (p:Diagnosis) to Hospital_Clerk;
R24,grant modifyproperty{status} on nodes (d:MedicalDocument) to Nurse;
R25,grant addproperty{salary} on nodes (u:Staff) to HR_Manager;
R26,grant read{*} on nodes (p:ClinicalProtocol) to Data_Analyst;
R27,grant modifyproperty{*} on nodes (u:Patient) to Auditor;
